570,204,1
1052,297,1
1438,475,1
1766,919,1
1180,354,1
1592,560,1
1472,488,1
334,96,1
364,100,1
503,163,1
657,217,1
1670,586,1
1591,559,1
427,142,1
5,5,1
1758,769,1
452,149,1
1693,601,1
1777,1005,1
1734,661,1
979,268,1
1581,551,1
1068,299,1
1206,377,1
1035,294,1
235,67,1
1071,302,1
499,161,1
1743,681,1
1664,580,1
1566,538,1
1537,524,1
1762,891,1
432,147,1
1704,614,1
218,60,1
412,127,1
1778,1010,1
624,208,1
1203,374,1
1152,331,1
982,271,1
1334,404,1
19,14,1
420,135,1
1224,386,1
1229,392,1
1380,442,1
425,140,1
431,146,1
1236,399,1
1714,623,1
1715,624,1
459,155,1
232,64,1
1589,557,1
1411,459,1
197,42,1
1495,495,1
1337,407,1
1750,688,1
1034,293,1
1772,960,1
1726,646,1
1431,470,1
1018,277,1
1685,593,1
1366,428,1
1471,487,1
1195,366,1
1413,461,1
461,156,1
392,114,1
244,73,1
1214,379,1
1562,534,1
1148,327,1
751,237,1
182,36,1
540,181,1
664,223,1
1744,683,1
560,200,1
541,182,1
1135,319,1
3,3,1
1331,402,1
981,270,1
1665,581,1
1540,527,1
1687,595,1
535,175,1
1532,518,1
103,17,1
484,626,1
821,246,1
551,191,1
1389,452,1
1024,284,1
1359,426,1
1705,615,1
1720,636,1
316,91,1
1534,519,1
1492,493,1
1569,541,1
1212,378,1
314,89,1
14,13,1
1147,326,1
389,111,1
628,211,1
737,231,1
367,103,1
878,256,1
1222,385,1
1596,564,1
398,120,1
1473,489,1
1372,434,1
390,112,1
1440,477,1
1151,330,1
1434,472,1
433,148,1
622,207,1
1146,324,1
1709,619,1
203,47,1
1407,455,1
649,214,1
1160,336,1
1769,937,1
1507,503,1
1230,393,1
215,56,1
1381,444,1
422,137,1
1015,275,1
424,139,1
1217,382,1
1168,347,1
984,273,1
1760,860,1
546,186,1
254,83,1
528,168,1
1225,387,1
1506,502,1
1565,537,1
1555,531,1
881,258,1
544,184,1
488,159,1
335,97,1
486,158,1
1437,474,1
1765,918,1
229,61,1
1172,351,1
1668,584,1
1016,276,1
1408,456,1
1107,310,1
1475,491,1
421,136,1
1737,670,1
7,7,1
402,201,1
1501,500,1
247,76,1
1702,611,1
1218,383,1
1344,414,1
1171,350,1
455,152,1
1563,535,1
251,79,1
1725,643,1
1163,340,1
1441,478,1
1557,533,1
566,202,1
1651,569,1
376,106,1
11,11,1
1536,523,1
1577,546,1
1671,587,1
1020,279,1
1205,376,1
1377,439,1
1692,600,1
202,46,1
1341,410,1
557,197,1
567,203,1
522,164,1
457,154,1
165,31,1
1235,398,1
233,65,1
1162,338,1
1137,321,1
1345,415,1
885,260,1
645,213,1
1732,659,1
876,254,1
1428,468,1
1578,547,1
547,187,1
209,51,1
391,113,1
1226,388,1
1231,394,1
626,209,1
1419,466,1
1727,648,1
654,215,1
1453,480,1
164,30,1
1027,286,1
1526,509,1
1528,513,1
454,151,1
558,198,1
396,118,1
1164,341,1
393,115,1
1721,637,1
1232,395,1
1139,323,1
552,192,1
1199,370,1
1476,492,1
1378,440,1
365,101,1
1583,553,1
1204,375,1
1370,432,1
926,263,1
1745,684,1
4,4,1
246,75,1
1742,677,1
10,10,1
1078,308,1
1348,418,1
1718,634,1
1023,283,1
8,8,1
214,55,1
207,49,1
162,28,1
627,210,1
1722,638,1
1454,481,1
1455,482,1
1654,570,1
430,145,1
1121,318,1
1684,591,1
1385,448,1
1553,530,1
1686,594,1
239,70,1
555,195,1
1586,556,1
201,45,1
1509,505,1
1183,356,1
1571,543,1
545,185,1
1719,635,1
1227,389,1
1009,274,1
525,166,1
1525,508,1
1723,641,1
548,188,1
1161,337,1
1593,561,1
1349,419,1
1773,968,1
1368,430,1
1594,562,1
1233,396,1
1708,618,1
738,232,1
166,32,1
405,125,1
1030,290,1
187,40,1
1776,1003,1
198,43,1
366,102,1
1412,460,1
237,68,1
1149,328,1
253,82,1
1070,301,1
158,23,1
1201,372,1
1193,364,1
1701,609,1
1738,672,1
1136,320,1
1763,900,1
250,78,1
1551,529,1
550,190,1
1333,403,1
245,74,1
1188,361,1
534,174,1
1436,473,1
1497,497,1
418,133,1
1430,469,1
1189,362,1
820,245,1
1556,532,1
1648,568,1
485,157,1
1184,357,1
766,241,1
498,160,1
1579,548,1
252,81,1
1666,582,1
1375,437,1
1353,421,1
365,304,1
1181,355,1
1066,298,1
1382,446,1
1656,574,1
539,180,1
1647,567,1
1467,485,1
243,72,1
536,176,1
12,12,1
1694,602,1
1,1,1
453,150,1
1216,381,1
199,44,1
1379,441,1
210,52,1
1688,597,1
156,21,1
1674,590,1
556,196,1
1672,588,1
394,116,1
456,153,1
634,212,1
258,87,1
554,194,1
183,37,1
1496,496,1
1200,371,1
1468,486,1
2,2,1
159,24,1
537,178,1
9,9,1
1025,285,1
1700,608,1
765,240,1
1567,539,1
380,110,1
1416,463,1
1779,1017,1
184,38,1
1658,576,1
1357,424,1
238,69,1
1383,447,1
379,109,1
1573,545,1
1585,555,1
1033,291,1
1166,343,1
1340,409,1
1355,423,1
1530,516,1
928,266,1
661,221,1
1739,676,1
1376,439,1
1539,526,1
1746,686,1
1512,506,1
822,247,1
1767,920,1
533,173,1
923,262,1
877,255,1
1735,662,1
1570,542,1
1187,360,1
1388,451,1
1367,429,1
1118,315,1
181,35,1
542,183,1
1535,521,1
206,48,1
1657,575,1
1221,384,1
429,144,1
1590,558,1
